id	isolate	aliases	country	continent	region	state	species	year	source	detailed_source	collector	location	comments	bioproject_accession	biosample_accession	NCBI_assembly_accession	run_accession	sender	curator	date_entered	datestamp	BORR05565	clpA	clpX	nifS	pepX	pyrG	recG	rplB	uvrA	ST (MLST)
1	B31		USA	North America	Long  Island	NY	Borrelia burgdorferi sensu stricto	1981	tick	Ixodes scapularis	A. Barbour							4	1	2015-01-29	2024-03-05	1	1	1	1	1	1	1	1	1	1
2	BL206		USA	North America	Westchester County	NY	Borrelia burgdorferi sensu stricto		human	blood	Lyme Disease Diagnostic Center of the Westchester County Medical Center							4	2	2015-01-29	2015-01-29		1	1	1	1	1	1	1	1	1
3	B331		USA	North America	Westchester County	NY	Borrelia burgdorferi sensu stricto		human		Lyme Disease Diagnostic Center of the Westchester County Medical Center							4	2	2015-01-29	2015-01-29		2	2	1	2	2	2	2	2	16
4	B356		USA	North America	Westchester County	NY	Borrelia burgdorferi sensu stricto		human	EM	Lyme Disease Diagnostic Center of the Westchester County Medical Center							4	2	2015-01-29	2015-01-29		3	3	2	4	3	4	4	4	12
5	B418		USA	North America	Westchester County	NY	Borrelia burgdorferi sensu stricto		human	EM	Lyme Disease Diagnostic Center of the Westchester County Medical Center							4	2	2015-01-29	2015-01-29		4	4	3	3	3	3	3	3	19
6	B500		USA	North America	Westchester County	NY	Borrelia burgdorferi sensu stricto		human		Lyme Disease Diagnostic Center of the Westchester County Medical Center							4	2	2015-01-29	2015-01-29		2	2	4	2	2	2	2	2	15
7	B515		USA	North America	Westchester County	NY	Borrelia burgdorferi sensu stricto		human	EM	Lyme Disease Diagnostic Center of the Westchester County Medical Center							4	2	2015-01-29	2015-01-29		1	1	1	1	1	1	1	1	1
8	297		USA	North America	Massachusetts	MA	Borrelia burgdorferi sensu stricto		human	CSF	Steere et al. 1983							4	2	2015-01-29	2015-01-29		4	1	1	1	1	6	1	7	3
9	B509		USA	North America	Westchester County	NY	Borrelia burgdorferi sensu stricto		human		Lyme Disease Diagnostic Center of the Westchester County Medical Center							4	2	2015-01-29	2015-01-29		8	1	1	1	4	6	1	7	4
10	B504		USA	North America	Westchester County	NY	Borrelia burgdorferi sensu stricto		human		Lyme Disease Diagnostic Center of the Westchester County Medical Center							4	2	2015-01-29	2015-01-29		4	1	1	1	1	6	1	7	3
11	B373		USA	North America	Westchester County	NY	Borrelia burgdorferi sensu stricto		human		Lyme Disease Diagnostic Center of the Westchester County Medical Center							4	2	2015-01-29	2015-01-29		6	1	5	1	1	7	1	8	7
12	MR623		USA	North America	Westchester County	NY	Borrelia burgdorferi sensu stricto		human		Lyme Disease Diagnostic Center of the Westchester County Medical Center							4	2	2015-01-29	2015-01-29		6	1	5	1	1	7	1	8	7
13	MR654		USA	North America	Westchester County	NY	Borrelia burgdorferi sensu stricto		human		Lyme Disease Diagnostic Center of the Westchester County Medical Center							4	2	2015-01-29	2015-01-29		10	5	4	6	1	6	1	6	9
14	B156		USA	North America	Westchester County	NY	Borrelia burgdorferi sensu stricto		human		Lyme Disease Diagnostic Center of the Westchester County Medical Center							4	2	2015-01-29	2015-01-29		5	5	4	5	5	5	1	6	8
15	MR661		USA	North America	Westchester County	NY	Borrelia burgdorferi sensu stricto		human		Lyme Disease Diagnostic Center of the Westchester County Medical Center							4	2	2015-01-29	2015-01-29		10	5	4	6	1	6	1	6	9
16	JD1		USA	North America	Massachusetts	MA	Borrelia burgdorferi sensu stricto		tick	Ixodes scapularis	J. Piesman							4	2	2015-01-29	2015-01-29		5	7	5	1	6	1	4	9	11
17	BL515		USA	North America	Westchester County	NY	Borrelia burgdorferi sensu stricto		human		lyme Disease Diagnostic Center of the Westchester County Medical Center							4	2	2015-01-29	2015-01-29		5	7	5	1	6	1	4	9	11
18	BL538		USA	North America	Westchester County	NY	Borrelia burgdorferi sensu stricto		human		lyme Disease Diagnostic Center of the Westchester County Medical Center							4	2	2015-01-29	2015-01-29		5	7	5	1	6	1	4	9	11
19	BL522		USA	North America	Westchester County	NY	Borrelia burgdorferi sensu stricto		human	EM	lyme Disease Diagnostic Center of the Westchester County Medical Center							4	2	2015-01-29	2015-01-29		3	3	2	4	3	4	4	4	12
20	MR616		USA	North America	Westchester County	NY	Borrelia burgdorferi sensu stricto		human		lyme Disease Diagnostic Center of the Westchester County Medical Center							4	2	2015-01-29	2015-01-29		9	1	1	7	1	6	1	10	14
21	B361		USA	North America	Westchester County	NY	Borrelia burgdorferi sensu stricto		human		lyme Disease Diagnostic Center of the Westchester County Medical Center							4	2	2015-01-29	2015-01-29		2	2	1	2	2	2	2	2	16
22	B485		USA	North America	Westchester County	NY	Borrelia burgdorferi sensu stricto		human		lyme Disease Diagnostic Center of the Westchester County Medical Center							4	2	2015-01-29	2015-01-29		7	6	6	1	1	5	5	5	18
23	MR607		USA	North America	Westchester County	NY	Borrelia burgdorferi sensu stricto		human		lyme Disease Diagnostic Center of the Westchester County Medical Center							4	2	2015-01-29	2015-01-29		7	6	6	1	1	5	5	5	18
24	MR662		USA	North America	Westchester County	NY	Borrelia burgdorferi sensu stricto		human		lyme Disease Diagnostic Center of the Westchester County Medical Center							4	2	2015-01-29	2015-01-29		7	6	6	1	1	5	5	5	18
25	N40		USA	North America	Westchester County	NY	Borrelia burgdorferi sensu stricto		tick	Ixodes scapularis	D. Persing							4	2	2015-01-29	2015-01-29		4	4	3	3	3	3	3	3	19
26	MR640		USA	North America	Westchester County	NY	Borrelia burgdorferi sensu stricto		human		Lyme Disease Diagnostic Center of the Westchester County Medical Center							4	2	2015-01-29	2015-01-29		4	4	3	3	3	3	3	3	19
27	B348		USA	North America	Westchester County	NY	Borrelia burgdorferi sensu stricto		human	EM	Lyme Disease Diagnostic Center of the Westchester County Medical Center							4	2	2015-01-29	2015-01-29		4	4	3	3	3	3	3	3	19
28	CA-4	(ca92-0738)	USA	North America	Cloverdale CA	CA	Borrelia burgdorferi sensu stricto		tick	Ixodes pacificus	RS Lane							5	2	2015-01-29	2015-01-29		1	1	7	1	1	1	1	11	2
29	CA-5	(ca92-0739)	USA	North America	Cloverdale CA	CA	Borrelia burgdorferi sensu stricto		tick	Ixodes pacificus	RS Lane							5	2	2015-01-29	2015-01-29		1	1	7	1	1	1	1	11	2
30	CA-6	(ca92-0742)	USA	North America	Northern CA	CA	Borrelia burgdorferi sensu stricto		tick	Ixodes pacificus	RS Lane							5	2	2015-01-29	2015-01-29		1	1	7	1	1	1	1	11	2
31	ca92-0953		USA	North America	Briceland CA	CA	Borrelia burgdorferi sensu stricto		human	EM	RS Lane							5	2	2015-01-29	2015-01-29		11	1	8	1	1	6	4	12	6
32	ca92-1096		USA	North America	Sonoma CA	CA	Borrelia burgdorferi sensu stricto		human	EM	RS Lane							5	2	2015-01-29	2015-01-29		12	2	9	8	5	8	2	13	17
33	ca92-1337		USA	North America	Humboldt CA	CA	Borrelia burgdorferi sensu stricto		human	EM	RS Lane							5	2	2015-01-29	2015-01-29		3	3	2	4	3	6	4	4	13
34	WTB-27		USA	North America	Pt Reyes CA	CA	Borrelia burgdorferi sensu stricto		tick	Ixodes pacificus	J Piesman							5	2	2015-01-29	2015-01-29		11	1	1	9	7	6	4	14	5
35	WTB-32		USA	North America	Pt Reyes CA	CA	Borrelia burgdorferi sensu stricto		tick	Ixodes pacificus	J Piesman							5	2	2015-01-29	2015-01-29		5	5	4	5	8	5	6	6	10
36	IPT2		France	Europe	Alsace		Borrelia burgdorferi sensu stricto		tick	Ixodes ricinus								6	2	2015-01-29	2015-01-29		14	1	11	1	1	1	1	10	20
37	IPT23		France	Europe	Alsace		Borrelia burgdorferi sensu stricto		tick	Ixodes ricinus								6	2	2015-01-29	2015-01-29		14	1	11	1	1	1	1	10	20
38	IPT69		France	Europe	Alsace		Borrelia burgdorferi sensu stricto		tick	Ixodes ricinus								6	2	2015-01-29	2015-01-29		14	1	11	1	1	1	1	10	20
39	ITP190		France	Europe	Normandie		Borrelia burgdorferi sensu stricto		tick	Ixodes ricinus								6	2	2015-01-29	2015-01-29		14	1	11	1	1	1	1	10	20
40	IPT191		France	Europe	Normandie		Borrelia burgdorferi sensu stricto		tick	Ixodes ricinus								6	2	2015-01-29	2015-01-29		14	1	11	1	1	1	1	10	20
41	IPT19		France	Europe	Alsace		Borrelia burgdorferi sensu stricto		tick	Ixodes ricinus								6	2	2015-01-29	2015-01-29		14	1	11	1	1	10	1	10	21
42	IPT135		France	Europe	Auvergne		Borrelia burgdorferi sensu stricto		tick	Ixodes ricinus								6	2	2015-01-29	2015-01-29		14	1	11	1	1	12	1	10	22
43	IPT137		France	Europe	Alsace		Borrelia burgdorferi sensu stricto		tick	Ixodes ricinus								6	2	2015-01-29	2015-01-29		16	1	11	1	1	1	1	10	23
44	IPT39		France	Europe	Alsace		Borrelia burgdorferi sensu stricto		tick	Ixodes ricinus								6	2	2015-01-29	2015-01-29		15	9	12	8	1	11	8	16	24
45	IPT58		France	Europe	Alsace		Borrelia burgdorferi sensu stricto		tick	Ixodes ricinus								6	2	2015-01-29	2015-01-29		15	9	12	8	1	11	8	16	24
46	IPT193		France	Europe	Normandie		Borrelia burgdorferi sensu stricto		tick	Ixodes ricinus								6	2	2015-01-29	2015-01-29		13	10	13	10	9	9	7	15	25
47	IPT198		France	Europe	Normandie		Borrelia burgdorferi sensu stricto		tick	Ixodes ricinus								6	2	2015-01-29	2015-01-29		13	10	13	10	9	9	7	15	25
48	NE49		Switzerland	Europe			Borrelia burgdorferi sensu stricto		tick	Ixodes ricinus	L. Gern							6	2	2015-01-29	2015-01-29		13	8	10	10	9	9	7	15	26
49	Z41293		Germany	Europe			Borrelia burgdorferi sensu stricto		tick	Ixodes ricinus	M. Wittenbrink							6	2	2015-01-29	2015-01-29		17	10	14	10	10	13	9	17	27
50	Z41493		Germany	Europe			Borrelia burgdorferi sensu stricto		tick	Ixodes ricinus	M. Wittenbrink							6	2	2015-01-29	2015-01-29		17	11	10	10	9	14	10	18	28
51	21509LT		Latvia	Europe	Riga district, Babite		Borrelia burgdorferi sensu stricto		tick	Ixodes ricinus	A. Bormane, Latvia							8	2	2015-01-29	2015-01-29		14	1	11	1	1	10	1	10	21
52	20111LT		Latvia	Europe	Riga district, Babite		Borrelia burgdorferi sensu stricto		tick	Ixodes ricinus	A. Bormane, Latvia							8	2	2015-01-29	2015-01-29		15	13	12	8	1	17	8	16	33
53	22521LT		Latvia	Europe	Riga district, Babite		Borrelia burgdorferi sensu stricto		tick	Ixodes ricinus	A. Bormane, Latvia							8	2	2015-01-29	2015-01-29		14	1	11	1	1	1	1	10	20
54	20604LT		Latvia	Europe	Jurmala, Kemeri		Borrelia burgdorferi sensu stricto		tick	Ixodes ricinus	A. Bormane, Latvia							8	2	2015-01-29	2015-01-29		14	1	11	1	1	1	1	10	20
55	Ly		Tanzania	Africa	Mvumi		Borrelia duttonii	1998	human	2 year old patient	Sally Cutler							2	2	2015-02-04	2015-02-05		61	164	148	170	178	187	156	174	101
56	DAH		USA	North America	western Washington	Washington	Borrelia hermsii	1996	human		Tom Schwan, Rocky Mountain Laboratories, Montana, USA		GenBank Accession no. NC_010673.1					2	2	2015-02-18	2015-02-18		68	165	149	171	179	188	157	175	104
57	91E135		USA	North America	southwestern USA		Borrelia turicatae	1996	tick		Tom Schwan, Rocky Mountain Laboratories, Montana, USA		GenBank accession NC_008710.1					2	2	2015-02-18	2015-02-18		71	166	150	172	180	189	158	176	116
58	PFiM		Germany	Europe	Munich	Bavaria	Borrelia garinii	1987	human	skin, EM	German National Reference Centre for Borrelia		EM					11	2	2015-02-19	2017-07-24		42	27	29	38	29	36	27	160	574
59	162/11b		Serbia	Europe	Belgrade area-Titov gaj		Borrelia lusitaniae	2011	tick	Ixodes ricinus	S. Tomanovic/S. Cakic	44.748645, 20.534786						30	2	2015-03-16	2015-03-16		101	22	20	123	176	118	155	172	628
60	163/11i		Serbia	Europe	Belgrade area-Kosutnjak		Borrelia afzelii	2011	tick	Ixodes ricinus	S. Tomanovic/S. Cakic	44.752399, 20.437684						30	2	2015-03-16	2015-03-16		38	24	25	32	163	29	24	28	474
61	164/11a		Serbia	Europe	Belgrade area-Kosutnjak		Borrelia afzelii	2011	tick	Ixodes ricinus	S. Tomanovic/S. Cakic	44.752399, 20.437684						30	2	2015-03-16	2015-03-16		36	24	23	34	85	29	23	28	121
62	164/11g		Serbia	Europe	Belgrade area-Kosutnjak		Borrelia garinii	2011	tick	Ixodes ricinus	S. Tomanovic/S. Cakic	44.752399, 20.437684						30	2	2015-03-16	2015-03-16		42	27	29	38	40	36	27	33	132
63	167/11b		Serbia	Europe	Belgrade area-Kosutnjak		Borrelia lusitaniae	2011	tick	Ixodes ricinus	S. Tomanovic/S. Cakic	44.752399, 20.437684						30	2	2015-03-16	2015-03-16		101	22	20	123	176	118	155	172	628
64	167/11c		Serbia	Europe	Belgrade area-Kosutnjak		Borrelia lusitaniae	2011	tick	Ixodes ricinus	S. Tomanovic/S. Cakic	44.752399, 20.437684						30	2	2015-03-16	2015-08-12		74	173	147	47	51	186	48	27	136
