Organism Scientific Name	Organism Common Name	Organism Qualifier	Taxonomy id	Assembly Name	Assembly Accession	Source	Annotation	Level	Contig N50	Size	Submission Date	Gene Count	BioProject	BioSample
Borrelia hermsii DAH		strain: DAH	314723	ASM1206v2	GCF_000012065.2	RefSeq	GCF_000012065.2-RS_2025_04_04	Chromosome	922307	1066225	2012-05-10	1035	PRJNA29637	SAMN02641559
Borrelia turicatae 91E135		isolate: Oz1, strain: 91E135	314724	ASM1208v2	GCF_000012085.2	RefSeq	GCF_000012085.2-RS_2025_03_05	Complete Genome	917330	1165365	2006-12-27	1142	PRJNA13597	SAMN02603508
Borrelia duttonii Ly		strain: Ly	412419	ASM1968v1	GCF_000019685.1	RefSeq	GCF_000019685.1-RS_2025_11_23	Complete Genome	931674	1574881	2008-09-15	1574	PRJNA18231	SAMN02603585
Borrelia recurrentis A1		strain: A1	412418	ASM1970v1	GCF_000019705.1	RefSeq	GCF_000019705.1-RS_2025_12_13	Complete Genome	930981	1242163	2008-09-15	1227	PRJNA18233	SAMN02603586
Borrelia crocidurae str. Achema		strain: Achema	1155096	ASM25934v1	GCF_000259345.1	RefSeq	GCF_000259345.1-RS_2025_07_09	Chromosome	919477	1528893	2012-04-20	1449	PRJNA85135	SAMN02604274
Borrelia miyamotoi LB-2001		strain: LB-2001	1302858	ASM44542v4	GCF_000445425.4	RefSeq	GCF_000445425.4-RS_2025_04_02	Complete Genome	907293	937966	2015-11-04	893	PRJNA192621	SAMN02604147
Borrelia persica No12		strain: No12	1417230	AB6.5.1	GCF_000500045.1	RefSeq	GCF_000500045.1-RS_2025_12_09	Contig	215270	1784977	2013-11-27	1838	PRJNA226261	SAMN02471306
Borrelia hispanica CRI		strain: CRI	1417229	AB2	GCF_000500065.1	RefSeq	GCF_000500065.1-RS_2025_12_09	Contig	216648	1783846	2013-11-27	1839	PRJNA226260	SAMN02471307
Borrelia parkeri HR1		strain: HR1	1435045	ASM51214v2	GCF_000512145.1	RefSeq	GCF_000512145.1-RS_2025_04_04	Chromosome	916945	1030684	2014-01-07	981	PRJNA231102	SAMN02641595
Borrelia coriaceae ATCC 43381		strain: ATCC 43381	1408429	ASM51812v1	GCF_000518125.1	RefSeq	GCF_000518125.1-RS_2025_05_02	Scaffold	206849	1575698	2014-01-13	1506	PRJNA223124	SAMN02585009
